駅コード	駅名	備考
0912		2024-03-15/湯尾
0914		2024-03-15/南条
0915		2024-03-15/王子保
0916		2024-03-15/武生
0917		2024-03-15/鯖江
0918		2024-03-15/越前たけふ
0919		2024-03-15/北鯖江
091a		2024-03-15/大土呂
091b		2024-03-15/越前花堂
091c		2024-03-15/福井
091e		2024-03-15/森田
091f		2024-03-15/春江
0920		2024-03-15/丸岡
0921		2024-03-15/芦原温泉
0923		2024-03-15/細呂木
0924		2024-03-15/牛ノ谷
0925		2024-03-15/大聖寺
0926		2024-03-15/加賀温泉
0928		2024-03-15/動橋
0929		2024-03-15/粟津
092b		2024-03-15/小松
092c		2024-03-15/明峰
092d		2024-03-15/能美根上
092e		2024-03-15/小舞子
0931		2024-03-15/美川
0932		2024-03-15/加賀笠間
0933		2024-03-15/松任
0935		2024-03-15/野々市
0936		2024-03-15/西金沢
0937		2024-03-15/金沢
0941	新高岡	
0942	高岡	
0948	富山	
0951	黒部宇奈月温泉	
095c	糸魚川	
0a01	神戸	#unused
0a02	兵庫	
0a03	新長田	
0a04	鷹取	
0a05	須磨海浜公園	
0a07	須磨	
0a08	塩屋	
0a09	垂水	
0a0a	舞子	
0a0c	朝霧	
0a0d	明石	
0a10	西明石	
0a11	大久保	
0a13	魚住	
0a15	土山	
0a17	東加古川	
0a19	加古川	
0a1b	宝殿	
0a1d	曽根	
0a1e	ひめじ別所	
0a1f	御着	
0a20	東姫路	2016-03-25/
0a21	姫路	
0a23	英賀保	
0a24	はりま勝原	
0a25	網干	
0a27	竜野	
0a28	相生	
0a2a	有年	
0a2b	上郡	
0a2d	三石	
0a2e	吉永	
0a2f	和気	
0a30	熊山	
0a32	万富	
0a34	瀬戸	
0a35	上道	
0a36	東岡山	
0a37	高島	
0a38	西川原	
0a39	岡山	
0a3a	北長瀬	
0a3b	庭瀬	
0a3c	中庄	
0a3e	倉敷	
0a3f	西阿知	
0a41	新倉敷	
0a43	金光	
0a44	鴨方	
0a45	里庄	
0a47	笠岡	
0a48	大門	
0a49	東福山	
0a4a	福山	
0a4c	備後赤坂	
0a4d	松永	
0a4e	東尾道	
0a4f	尾道	
0a51	糸崎	
0a53	三原	
0a56	本郷	
0a58	河内	
0a59	入野	
0a5b	白市	
0a5c	西高屋	
0a5d	西条	
0a5f	八本松	
0a60	瀬野	
0a61	中野東	
0a62	安芸中野	
0a64	海田市	
0a65	向洋	
0a66	天神川	
0a67	広島	
0a68	新白島	
0a69	横川	
0a6a	西広島	
0a6b	新井口	
0a6c	五日市	
0a6e	廿日市	
0a6f	宮内串戸	
0a70	阿品	
0a71	宮島口	
0a72	前空	
0a74	大野浦	
0a76	玖波	
0a78	大竹	
0a79	和木	
0a7a	岩国	
0a7c	南岩国	
0a7d	藤生	
0a7f	通津	
0a80	由宇	
0a82	神代	
0a83	大畠	
0a85	柳井港	
0a86	柳井	
0a88	田布施	
0a89	岩田	
0a8b	島田	
0a8c	光	
0a8e	下松	
0a8f	櫛ケ浜	
0a91	徳山	
0a92	新南陽	
0a93	福川	
0a94	戸田	
0a96	富海	
0a97	防府	
0a98	大道	
0a99	四辻	
0a9b	新山口	
0a9c	嘉川	
0a9d	本由良	
0a9e	厚東	
0aa0	宇部	
0aa1	小野田	
0aa2	厚狭	
0aa3	埴生	
0aa5	小月	
0aa7	長府	
0aaa	新下関	
0aac	幡生	
0aae	下関	
0b01	京都	#unused
0b02	梅小路京都西	2019-03-15/
0b03	丹波口	
0b04	二条	
0b06	円町	
0b07	花園	
0b08	太秦	
0b09	嵯峨嵐山	
0b0b	保津峡	
0b0d	馬堀	
0b0e	亀岡	
0b0f	並河	
0b10	千代川	
0b12	八木	
0b13	吉富	
0b14	園部	
0b16	船岡	
0b17	日吉	
0b18	鍼灸大学前	
0b19	胡麻	
0b1b	下山
0b1d	和知	
0b1e	安栖里	
0b1f	立木	
0b20	山家	
0b22	綾部	
0b23	高津	
0b24	石原	
0b26	福知山	
0b28	上川口	
0b2a	下夜久野	
0b2b	上夜久野	
0b2c	梁瀬	
0b2d	和田山	
0b2f	養父	
0b30	八鹿	
0b31	江原	
0b32	国府	
0b34	豊岡	
0b35	玄武洞	
0b36	城崎温泉	
0b37	竹野	
0b39	佐津	
0b3a	柴山	
0b3b	香住	
0b3c	鎧	
0b3d	餘部	
0b3e	久谷	
0b40	浜坂	
0b41	諸寄	
0b42	居組	
0b43	東浜	
0b45	岩美	
0b46	大岩	
0b47	福部	
0b48	鳥取	
0b4a	湖山	
0b4b	鳥取大学前	
0b4c	末恒	
0b4d	宝木	
0b4e	浜村	
0b4f	青谷	
0b50	泊	
0b51	松崎	
0b52	倉吉	
0b54	下北条	
0b55	由良	
0b56	浦安	
0b57	八橋	
0b59	赤碕	
0b5a	中山口	
0b5b	下市	
0b5c	御来屋	
0b5e	名和	
0b5f	大山口	
0b60	淀江	
0b61	伯耆大山	
0b62	東山公園	
0b63	米子	
0b64	安来	
0b65	荒島	
0b66	揖屋	
0b68	東松江	
0b69	松江	
0b6a	乃木	
0b6b	玉造温泉	
0b6d	来待	
0b6e	宍道	
0b6f	荘原	
0b70	直江	
0b72	出雲市	
0b73	西出雲	
0b74	出雲神西	
0b75	江南	
0b76	小田	
0b77	田儀	
0b78	波根	
0b79	久手	
0b7a	大田市	
0b7c	静間	
0b7d	五十猛	
0b7e	仁万	
0b7f	馬路	
0b81	湯里	
0b82	温泉津	
0b83	石見福光	
0b84	黒松	
0b86	浅利	
0b87	江津	
0b88	都野津	
0b89	敬川	
0b8b	波子	
0b8c	久代	
0b8d	下府	
0b8e	浜田	
0b90	西浜田	
0b91	周布	
0b92	折居	
0b93	三保三隅	
0b95	岡見	
0b96	鎌手	
0b97	石見津田	
0b98	益田	
0b9a	戸田小浜	
0b9b	飯浦	
0b9c	江崎	
0b9d	須佐	
0b9f	宇田郷	
0ba0	木与	
0ba1	奈古	
0ba2	長門大井	
0ba4	越ケ浜	
0ba5	東萩	
0ba6	萩	
0ba7	玉江	
0ba9	三見	
0baa	飯井	
